startValue,endValue,quantity,gids
8430000,8439999,0,[]
8440000,8449999,0,[]
8450000,8459999,0,[]
8460000,8469999,0,[]
8470000,8479999,0,[]
8480000,8489999,0,[]
8490000,8499999,0,[]
8500000,8509999,0,[]
8510000,8519999,0,[]
8520000,8529999,0,[]
8530000,8539999,0,[]
8540000,8549999,0,[]
8550000,8559999,0,[]
8560000,8569999,0,[]
8570000,8579999,0,[]
8580000,8589999,0,[]
8590000,8599999,0,[]
8600000,8609999,0,[]
8610000,8619999,0,[]
8620000,8629999,0,[]
8630000,8639999,0,[]
8640000,8649999,0,[]
8650000,8659999,0,[]
8660000,8669999,0,[]
8670000,8679999,0,[]
8680000,8689999,0,[]
8690000,8699999,0,[]
8700000,8709999,0,[]
8710000,8719999,0,[]
8720000,8729999,0,[]
8730000,8739999,0,[]
8740000,8749999,0,[]
8750000,8759999,0,[]
8760000,8769999,0,[]
8770000,8779999,0,[]
8780000,8789999,0,[]
8790000,8799999,0,[]
8800000,8809999,0,[]
8810000,8819999,0,[]
8820000,8829999,0,[]
8830000,8839999,0,[]
8840000,8849999,0,[]
8850000,8859999,0,[]
8860000,8869999,0,[]
8870000,8879999,0,[]
8880000,8889999,0,[]
8890000,8899999,0,[]
8900000,8909999,0,[]
8910000,8919999,0,[]
8920000,8929999,0,[]
8930000,8939999,0,[]
8940000,8949999,0,[]
8950000,8959999,0,[]
8960000,8969999,0,[]
8970000,8979999,0,[]
8980000,8989999,0,[]
8990000,8999999,0,[]
9000000,9009999,0,[]
9010000,9019999,0,[]
9020000,9029999,0,[]
9030000,9039999,0,[]
9040000,9049999,0,[]
9050000,9059999,0,[]
9060000,9069999,0,[]
9070000,9079999,0,[]
9080000,9089999,0,[]
9090000,9099999,0,[]
9100000,9109999,0,[]
9110000,9119999,0,[]
9120000,9129999,0,[]
9130000,9139999,0,[]
9140000,9149999,0,[]
9150000,9159999,0,[]
9160000,9169999,0,[]
9170000,9179999,0,[]
9180000,9189999,0,[]
9190000,9199999,0,[]
9200000,9209999,0,[]
9210000,9219999,0,[]
9220000,9229999,0,[]
9230000,9239999,0,[]
9240000,9249999,0,[]
9250000,9259999,0,[]
9260000,9269999,0,[]
9270000,9279999,0,[]
